Complexity,Loss,Equation
1,76.7852,"adjusted_shot_creation"
2,73.23407,"ceil(adjusted_shot_creation)"
3,45.90038,"delta_fga_vs_rolling * adjusted_shot_creation"
4,40.072823,"ceil(adjusted_shot_creation * delta_fga_vs_rolling)"
5,25.104034,"delta_fga_vs_rolling * (adjusted_shot_creation ^ 1.0958273)"
6,23.588549,"ceil(delta_fga_vs_rolling * adjusted_shot_creation) * fg_pct_vs_avg_delta"
7,11.839683,"(rolling_e_usg_pct_5G + fg_pct_vs_avg_delta) * (delta_fga_vs_rolling * adjusted_shot_creation)"
8,11.63459,"ceil(((rolling_e_usg_pct_5G + fg_pct_vs_avg_delta) * delta_fga_vs_rolling) * adjusted_shot_creation)"
9,9.500878,"(delta_fga_vs_rolling * ((fg_pct_vs_avg_delta * adjusted_shot_creation) + volume_efficiency_to_pts)) ^ 0.9649234"
10,9.315995,"ceil(((delta_fga_vs_rolling * (volume_efficiency_to_pts + adjusted_shot_creation)) * fg_pct_vs_avg_delta) ^ 0.9505489)"
11,8.692811,"((delta_fga_vs_rolling * (adjusted_shot_creation + volume_efficiency_to_pts)) ^ 0.8873078) * (fg_pct_vs_avg_delta + 0.28528652)"
12,8.60166,"((ceil(adjusted_shot_creation + volume_efficiency_to_pts) * (fg_pct_vs_avg_delta + 0.18348207)) * delta_fga_vs_rolling) ^ 0.91163415"
13,8.526658,"ceil(((fg_pct_vs_avg_delta ^ 0.82074547) * (delta_fga_vs_rolling * ceil(volume_efficiency_to_pts + adjusted_shot_creation))) ^ 0.9519061)"
14,8.046363,"((adjusted_shot_creation + ((rolling_e_usg_pct_5G ^ -0.65026605) / inv(volume_efficiency_to_pts))) * (fg_pct_vs_avg_delta * delta_fga_vs_rolling)) ^ 0.86808264"
15,7.9921727,"(fg_pct_vs_avg_delta * (round(adjusted_shot_creation + ((rolling_e_usg_pct_5G ^ -0.648422) / inv(volume_efficiency_to_pts))) * delta_fga_vs_rolling)) ^ 0.8680292"
16,7.6323223,"((delta_fga_vs_rolling * fg_pct_vs_avg_delta) * ((((rolling_usg_pct_5G ^ -0.6377379) / inv(volume_efficiency_to_pts)) + adjusted_shot_creation) - rolling_pts_from_ft_5g)) ^ 0.89539415"
17,7.4554462,"((delta_fga_vs_rolling * fg_pct_vs_avg_delta) * floor((adjusted_shot_creation - rolling_pts_from_ft_5g) + ((rolling_usg_pct_5G ^ -0.62082773) / inv(volume_efficiency_to_pts)))) ^ 0.9037361"
18,7.3719115,"ceil((floor(((rolling_usg_pct_5G ^ -0.62080735) / inv(volume_efficiency_to_pts)) + (adjusted_shot_creation - rolling_pts_from_ft_5g)) * (fg_pct_vs_avg_delta * delta_fga_vs_rolling)) ^ 0.89495707)"
20,7.318765,"(round(((rolling_e_usg_pct_5G ^ -0.66342837) / inv(volume_efficiency_to_pts)) + (adjusted_shot_creation - (rolling_pts_from_ft_5g + round(fg_pct_vs_avg_delta)))) * (delta_fga_vs_rolling * fg_pct_vs_avg_delta)) ^ 0.90202737"
21,7.3107934,"ceil(round(delta_fga_vs_rolling * (fg_pct_vs_avg_delta * ((adjusted_shot_creation + ((rolling_e_usg_pct_5G ^ -0.6702198) / inv(volume_efficiency_to_pts))) - (rolling_pts_from_ft_5g + round(fg_pct_vs_avg_delta))))) ^ 0.8951341)"
22,7.30383,"(((fg_pct_vs_avg_delta * round((adjusted_shot_creation + ((rolling_e_usg_pct_5G ^ -0.663456) / inv(volume_efficiency_to_pts))) - (round(fg_pct_vs_avg_delta) + rolling_pts_from_ft_5g))) * delta_fga_vs_rolling) ^ 0.89933866) - -0.23836884"
23,7.275683,"ceil(round((((((rolling_e_usg_pct_5G ^ -0.6687275) / inv(volume_efficiency_to_pts)) + adjusted_shot_creation) - max(1.9940428, rolling_pts_from_ft_5g + round(fg_pct_vs_avg_delta))) * fg_pct_vs_avg_delta) * delta_fga_vs_rolling) ^ 0.89407355)"
25,7.2587776,"round((((fg_pct_vs_avg_delta * (round(adjusted_shot_creation + (((rolling_e_usg_pct_5G ^ -0.663456) / inv(volume_efficiency_to_pts)) - (round(fg_pct_vs_avg_delta) + rolling_pts_from_ft_5g))) + rolling_usg_pct_5G)) * delta_fga_vs_rolling) ^ 0.89933866) - -0.05654211)"
26,7.217165,"round(round(round(fg_pct_vs_avg_delta * ((adjusted_shot_creation + (((rolling_usg_pct_5G ^ -0.6690075) / inv(volume_efficiency_to_pts)) - (rolling_pts_from_ft_5g + round(fg_pct_vs_avg_delta)))) * delta_fga_vs_rolling)) ^ 0.9017801) ^ (0.99894124 ^ rolling_pts_from_ft_5g))"
27,7.1872563,"round(round(round(((adjusted_shot_creation + (((rolling_usg_pct_5G ^ -0.6690016) / inv(volume_efficiency_to_pts)) - (round(fg_pct_vs_avg_delta) + rolling_pts_from_ft_5g))) * fg_pct_vs_avg_delta) * delta_fga_vs_rolling) ^ 0.90176094) ^ (0.9990572 ^ ceil(rolling_pts_from_ft_5g)))"
29,7.1651497,"round(round(round((delta_fga_vs_rolling * fg_pct_vs_avg_delta) * ((adjusted_shot_creation + ((rolling_usg_pct_5G ^ -0.6690016) / inv(volume_efficiency_to_pts))) - max(round(fg_pct_vs_avg_delta) + rolling_pts_from_ft_5g, 1.7184907))) ^ 0.90176094) ^ (0.9990572 ^ ceil(rolling_pts_from_ft_5g)))"
30,7.1638494,"round(round(round(((adjusted_shot_creation + ((rolling_usg_pct_5G ^ -0.6690016) / inv(volume_efficiency_to_pts))) - (round(fg_pct_vs_avg_delta) + max(rolling_pts_from_ft_5g, sqrt(rolling_e_usg_pct_5G)))) * (fg_pct_vs_avg_delta * delta_fga_vs_rolling)) ^ 0.90176094) ^ (0.9990572 ^ ceil(rolling_pts_from_ft_5g)))"
31,7.1547465,"round(round(round(fg_pct_vs_avg_delta * (((adjusted_shot_creation + ((rolling_usg_pct_5G ^ -0.6690016) / inv(volume_efficiency_to_pts))) - (round(fg_pct_vs_avg_delta) + max(rolling_pts_from_ft_5g, sqrt(sqrt(rolling_pts_from_ft_5g))))) * delta_fga_vs_rolling)) ^ 0.90176094) ^ (0.9990572 ^ ceil(rolling_pts_from_ft_5g)))"
32,7.130039,"ceil((fg_pct_vs_avg_delta * (delta_fga_vs_rolling * ((adjusted_shot_creation + ((rolling_usg_pct_5G ^ -0.66022414) / inv(volume_efficiency_to_pts))) - round(inv(exp(min((0.7531702 ^ rolling_pts_from_ft_5g) / sqrt(inv(adjusted_shot_creation)), delta_fga_vs_rolling - -0.8831097) + -2.7053387)))))) ^ 0.89205194)"
34,7.076723,"ceil(((((((rolling_usg_pct_5G ^ -0.66133994) / inv(volume_efficiency_to_pts)) - round(inv(exp(-2.7052653 + min(delta_fga_vs_rolling - -0.884811, (0.7601938 ^ (rolling_pts_from_ft_5g - -0.15966709)) / inv(sqrt(adjusted_shot_creation))))))) + adjusted_shot_creation) * fg_pct_vs_avg_delta) * delta_fga_vs_rolling) ^ 0.891522)"
36,7.0637193,"ceil((((adjusted_shot_creation + max(((rolling_usg_pct_5G ^ -0.66133994) / inv(volume_efficiency_to_pts)) - round(inv(exp(min((0.7601938 ^ (rolling_pts_from_ft_5g - -0.15966709)) / sqrt(inv(adjusted_shot_creation)), delta_fga_vs_rolling - -0.884811) + -2.7052653))), 0.56162214)) * fg_pct_vs_avg_delta) * delta_fga_vs_rolling) ^ 0.891522)"
38,7.042548,"0.9920129 * ceil(((fg_pct_vs_avg_delta * ((adjusted_shot_creation + (((rolling_usg_pct_5G ^ -0.6628592) / inv(volume_efficiency_to_pts)) - round(inv(exp(-2.7052715 + min(delta_fga_vs_rolling - -0.8848275, (0.76128376 ^ (rolling_pts_from_ft_5g - -0.15936984)) / inv(sqrt(adjusted_shot_creation)))))))) * delta_fga_vs_rolling)) ^ 0.8927275) + -0.08081033)"
39,7.0390115,"ceil(((delta_fga_vs_rolling * (fg_pct_vs_avg_delta * (((rolling_usg_pct_5G ^ -0.66133994) / inv(volume_efficiency_to_pts)) + (adjusted_shot_creation - round(inv(exp(min((0.7601938 ^ (rolling_pts_from_ft_5g - -0.15597856)) / inv(sqrt(adjusted_shot_creation)), delta_fga_vs_rolling - -0.9458792) + -2.7052653))))))) ^ 0.891522) - round(fg_pct_vs_avg_delta - 0.96184707))"
40,7.0290303,"ceil(((fg_pct_vs_avg_delta * ((adjusted_shot_creation + max(((rolling_usg_pct_5G ^ -0.6628592) / inv(volume_efficiency_to_pts)) - round(inv(exp(-2.7052715 + min(delta_fga_vs_rolling - -0.8848275, (0.76128376 ^ (rolling_pts_from_ft_5g - -0.15936984)) / inv(sqrt(adjusted_shot_creation)))))), 0.56306535)) * delta_fga_vs_rolling)) ^ 0.8927275) + -0.08081033) * 0.9920129"
